FIPS,County,countyname,County,fatalcounts,population2019,RuralProp,Rural,Urban,UninsuredProp,HighSchool,SomeCollege,Unempoyment,ViolentCrime,AAprop,MentalHealthDays,Smoking_Rate,AgeAbove65,AgeBelow18,Female_Prop,lat,lon
37135,Orange,orange,Orange County,7,148476,0.285319243,0,1,0.102484445,0.883926022,0.805228073,0.038215477,159.9248073,0.114822072,3.764061816,0.141970386,0.13398783,0.198135858,0.523305231,36.062527,-79.120033
37137,Pamlico,pamlico,Pamlico County,15,12726,1,1,0,0.13370734,0.874,0.595422808,0.048005908,165.4626902,0.190085901,4.05168556,0.171453,0.289305698,0.153124754,0.489873118,35.147575,-76.665268
37139,Pasquotank,pasquotank,Pasquotank County,1,39824,0.413196921,0,1,0.120071857,0.827,0.623709253,0.055793746,382.1832217,0.359937599,4.227480156,0.189710757,0.165186322,0.222403945,0.511863724,36.265198,-76.260689
37141,Pender,pender,Pender County,6,63060,0.687553862,1,0,0.133839602,0.895,0.609787787,0.047255318,149.8501499,0.150054136,4.019072064,0.17271303,0.176646215,0.223908265,0.501460022,34.512554,-77.888107
37143,Perquimans,perquimans,Perquimans County,14,13463,1,1,0,0.124072757,0.899,0.573617339,0.057846394,150.9718815,0.229330563,4.326639386,0.186573869,0.263321953,0.188065905,0.52011281,36.180897,-76.403244
37145,Person,person,Person County,0,39490,0.755219947,1,0,0.12534626,0.873,0.584415584,0.046667758,225.3370508,0.265811532,4.146540272,0.191144602,0.190525781,0.212852426,0.516433833,36.386356,-78.96563
37147,Pitt,pitt,Pitt County,4,180742,0.254359255,0,1,0.122798215,0.847,0.734173551,0.049344685,414.1662709,0.348314921,4.471910353,0.203530471,0.127785659,0.215362876,0.52945119,35.592491,-77.372742
37149,Polk,polk,Polk County,12,20724,0.922720624,1,0,0.123514609,0.92,0.62562396,0.042151163,63.43245712,0.041638292,4.043508561,0.152193696,0.304504329,0.163975095,0.519797646,35.277901,-82.167618
37151,Randolph,randolph,Randolph County,7,143667,0.562425927,1,0,0.152965731,0.901403745,0.52460126,0.044223706,156.1395033,0.061689535,4.158217596,0.199860744,0.172924722,0.228995966,0.50747477,35.709915,-79.806213
37153,Richmond,richmond,Richmond County,11,44829,0.455305646,0,1,0.137340963,0.81,0.474309034,0.061341624,494.2608999,0.310884415,4.580106264,0.226685887,0.177150766,0.228514666,0.51122818,35.004635,-79.755692
37155,Robeson,robeson,Robeson County,9,130625,0.626132908,1,0,0.183710655,0.861,0.457455417,0.066466518,461.3814325,0.233586716,5.39991209,0.272144285,0.147527261,0.251067071,0.517608555,34.63921,-79.100883
37157,Rockingham,rockingham,Rockingham County,3,91010,0.61944833,1,0,0.135873875,0.857,0.513710265,0.0523038,245.3499552,0.186170271,4.321032528,0.196596659,0.199221542,0.204257331,0.518367437,36.381805,-79.782753
37159,Rowan,rowan,Rowan County,2,142088,0.388223481,0,1,0.127481202,0.845,0.546999674,0.047081494,390.5145867,0.161713262,3.900513115,0.194315675,0.171127101,0.224183044,0.505844544,35.641354,-80.521721
37161,Rutherford,rutherford,Rutherford County,2,67029,0.610411444,1,0,0.139464162,0.841,0.509489551,0.061519707,195.9965299,0.095941458,4.284843612,0.192833276,0.210860844,0.208591907,0.517137233,35.402748,-81.919579
37163,Sampson,sampson,Sampson County,2,63531,0.849631884,1,0,0.187791321,0.834688103,0.48153512,0.04809851,227.4672669,0.252719533,4.275306567,0.207070634,0.17272584,0.246413369,0.505612486,34.9893,-78.371262
37165,Scotland,scotland,Scotland County,1,34823,0.48391736,0,1,0.134186623,0.871,0.501062825,0.078451792,694.2853871,0.388539025,4.876523657,0.230685019,0.176530932,0.229874904,0.50511498,34.840023,-79.477341
37167,Stanly,stanly,Stanly County,1,62806,0.677131303,1,0,0.120446668,0.887,0.559581882,0.041543723,266.1209842,0.113106275,3.953420418,0.189221874,0.186997821,0.216681305,0.500634332,35.310448,-80.254372
37169,Stokes,stokes,Stokes County,1,45591,0.756967153,1,0,0.117003827,0.833,0.540067994,0.042979032,216.9173987,0.039438283,3.999480653,0.16748063,0.206400245,0.190301201,0.510007218,36.393799,-80.26992
37171,Surry,surry,Surry County,4,71783,0.688053968,1,0,0.150452351,0.913550328,0.548118181,0.042577197,173.0781118,0.036359105,4.363970059,0.190979728,0.199601241,0.214056269,0.513568897,36.415417,-80.686462
37173,Swain,swain,Swain County,0,14271,1,1,0,0.181024701,0.793,0.589312519,0.051001297,195.1183595,0.010074157,4.91595304,0.23076309,0.189030362,0.223100602,0.517629775,35.568848,-83.465614
37175,Transylvania,transylvania,Transylvania County,1,34385,0.596373527,1,0,0.139536912,0.857,0.585702547,0.043609763,131.4735617,0.036017199,4.111267861,0.170473273,0.299151844,0.157350689,0.515755684,35.210102,-82.816666
37177,Tyrrell,tyrrell,Tyrrell County,10,4016,1,1,0,0.173913044,0.894,0.28685259,0.076271186,211.1801242,0.355380059,4.29822324,0.213610901,0.201135242,0.19076999,0.461500494,35.870419,-76.165344
37179,Union,union,Union County,5,239859,0.272892117,0,1,0.098747162,0.926,0.673733301,0.040030503,188.2261603,0.116291936,3.766035523,0.147488652,0.123414849,0.27255085,0.507611317,34.991821,-80.530426
37181,Vance,vance,Vance County,2,44535,0.540795209,1,0,0.124222216,0.821,0.464680682,0.062692071,580.750042,0.50473864,4.599393939,0.212492476,0.180905205,0.238334351,0.534799032,36.365482,-78.405434
37183,Wake,wake,Wake County,12,1111761,0.061013793,0,1,0.091915698,0.891,0.794414664,0.03919542,114.8926652,0.200612198,3.613079024,0.136140625,0.112342532,0.241908482,0.513159355,35.789845,-78.650627
37185,Warren,warren,Warren County,1,19731,1,1,0,0.166042966,0.713,0.51463039,0.069412107,210.537537,0.504853392,4.55049259,0.213944437,0.246894332,0.182920083,0.504300156,36.398106,-78.099899
37187,Washington,washington,Washington County,9,11580,0.677577865,1,0,0.127402289,0.725,0.482758621,0.067637877,284.8326608,0.477522478,4.544295863,0.192747775,0.236679987,0.204045954,0.527139527,35.844711,-76.572289
37189,Watauga,watauga,Watauga County,2,56177,0.554356976,1,0,0.132270936,0.896,0.772963105,0.041051305,120.795742,0.016962682,4.529403577,0.201561758,0.156528365,0.130585439,0.500879882,36.235367,-81.709885
37191,Wayne,wayne,Wayne County,4,123131,0.464040188,0,1,0.147449871,0.825,0.582549051,0.05115166,407.0172562,0.310746384,4.279953118,0.197712901,0.161380988,0.23444899,0.509164707,35.354191,-78.008667
37193,Wilkes,wilkes,Wilkes County,3,68412,0.727905971,1,0,0.149110069,0.879,0.542902022,0.04303075,209.4865398,0.042726318,4.438958581,0.189828249,0.210292231,0.207536164,0.506824545,36.208881,-81.166092
37195,Wilson,wilson,Wilson County,8,81801,0.386611517,0,1,0.135999394,0.785,0.529304979,0.073136233,403.246068,0.396064699,4.156249088,0.197860929,0.176708991,0.231955039,0.525682311,35.700356,-77.9216
37197,Yadkin,yadkin,Yadkin County,1,37667,0.846768734,1,0,0.144186509,0.876,0.551340592,0.04015544,254.8143197,0.030364801,4.232731277,0.18499696,0.19669614,0.211388786,0.506141791,36.158764,-80.665161
37199,Yancey,yancey,Yancey County,7,18069,1,1,0,0.143581977,0.92,0.547194895,0.046027912,42.74478514,0.008228134,4.382774067,0.17830866,0.252648783,0.185471145,0.508566276,35.889324,-82.303955
